date,longitude,latitude,level,expver,o3,t,OT
1944/6/1,104,0.5,10,1,1.60E-05,230.0085,-15.800076
1944/7/1,104,0.5,10,1,1.64E-05,230.07552,-22.099627
1944/8/1,104,0.5,10,1,1.66E-05,233.52177,-22.882956
1944/9/1,104,0.5,10,1,1.63E-05,234.88104,-19.52147
1944/10/1,104,0.5,10,1,1.55E-05,236.89944,-11.32123
1944/11/1,104,0.5,10,1,1.48E-05,236.14412,-0.44168282
1944/12/1,104,0.5,10,1,1.43E-05,235.74359,9.992098
1945/1/1,104,0.5,10,1,1.45E-05,233.54858,7.88911
1945/2/1,104,0.5,10,1,1.47E-05,234.8022,0.7474222
1945/3/1,104,0.5,10,1,1.50E-05,235.93518,7.1469483
1945/4/1,104,0.5,10,1,1.48E-05,237.11626,15.92351
1945/5/1,104,0.5,10,1,1.49E-05,235.29103,16.556288
1945/6/1,104,0.5,10,1,1.54E-05,232.26343,9.747456
1945/7/1,104,0.5,10,1,1.60E-05,231.4261,9.674532
1945/8/1,104,0.5,10,1,1.66E-05,231.71388,-1.9918714
1945/9/1,104,0.5,10,1,1.67E-05,231.41507,-5.1145954
1945/10/1,104,0.5,10,1,1.63E-05,231.77066,-12.337439
1945/11/1,104,0.5,10,1,1.55E-05,233.72046,-20.668232
1945/12/1,104,0.5,10,1,1.51E-05,232.19405,-28.255686
1946/1/1,104,0.5,10,1,1.53E-05,229.4148,-31.554836
1946/2/1,104,0.5,10,1,1.55E-05,229.9131,-30.208124
1946/3/1,104,0.5,10,1,1.55E-05,234.50812,-31.383116
1946/4/1,104,0.5,10,1,1.51E-05,236.76068,-32.93213
1946/5/1,104,0.5,10,1,1.44E-05,239.32231,-13.116062
1946/6/1,104,0.5,10,1,1.51E-05,235.11284,10.511963
1946/7/1,104,0.5,10,1,1.56E-05,233.97986,15.957619
1946/8/1,104,0.5,10,1,1.62E-05,233.5817,13.402983
1946/9/1,104,0.5,10,1,1.62E-05,234.34412,5.220386
1946/10/1,104,0.5,10,1,1.56E-05,235.68446,1.1332049
1946/11/1,104,0.5,10,1,1.51E-05,234.14307,2.612824
1946/12/1,104,0.5,10,1,1.48E-05,232.43925,-5.808534
1947/1/1,104,0.5,10,1,1.47E-05,232.08366,-16.675144
1947/2/1,104,0.5,10,1,1.48E-05,234.11232,-21.43627
1947/3/1,104,0.5,10,1,1.50E-05,235.24687,-27.43237
1947/4/1,104,0.5,10,1,1.46E-05,239.63531,-19.420319
1947/5/1,104,0.5,10,1,1.44E-05,238.7168,-0.23703003
1947/6/1,104,0.5,10,1,1.50E-05,235.116,8.256075
1947/7/1,104,0.5,10,1,1.60E-05,231.61769,14.253351
1947/8/1,104,0.5,10,1,1.66E-05,232.10495,10.195574
1947/9/1,104,0.5,10,1,1.66E-05,232.79247,7.8797
1947/10/1,104,0.5,10,1,1.58E-05,234.72809,9.756865
1947/11/1,104,0.5,10,1,1.54E-05,232.16093,6.532989
1947/12/1,104,0.5,10,1,1.52E-05,230.58327,-12.92905
1948/1/1,104,0.5,10,1,1.52E-05,230.83084,-24.499008
1948/2/1,104,0.5,10,1,1.54E-05,230.65108,-27.995754
1948/3/1,104,0.5,10,1,1.56E-05,233.5273,-32.70748
1948/4/1,104,0.5,10,1,1.51E-05,236.39563,-32.571045
1948/5/1,104,0.5,10,1,1.45E-05,238.07658,-11.761117
1948/6/1,104,0.5,10,1,1.48E-05,237.09183,5.7896514
1948/7/1,104,0.5,10,1,1.54E-05,235.27132,13.253609
1948/8/1,104,0.5,10,1,1.60E-05,235.69392,14.507404
1948/9/1,104,0.5,10,1,1.60E-05,235.79012,13.040724
1948/10/1,104,0.5,10,1,1.56E-05,235.99826,19.408493
1948/11/1,104,0.5,10,1,1.51E-05,233.75357,31.6324
1948/12/1,104,0.5,10,1,1.47E-05,232.12624,24.507177
1949/1/1,104,0.5,10,1,1.50E-05,230.74568,20.30826
1949/2/1,104,0.5,10,1,1.51E-05,232.48813,18.702793
1949/3/1,104,0.5,10,1,1.54E-05,232.74359,6.656487
1949/4/1,104,0.5,10,1,1.56E-05,233.45949,-15.388416
1949/5/1,104,0.5,10,1,1.55E-05,234.00824,-24.650734
1949/6/1,104,0.5,10,1,1.52E-05,235.05135,-23.62982
1949/7/1,104,0.5,10,1,1.57E-05,233.8474,-4.749984
1949/8/1,104,0.5,10,1,1.62E-05,234.65791,8.206675
